0 	 0.000334339
0.01 	 0.000462563
0.02 	 0.000139519
0.03 	 -3.87082e-05
0.04 	 1.68142e-05
0.05 	 -1.43152e-05
0.06 	 3.45169e-06
0.07 	 -1.14158e-05
0.08 	 -2.86843e-06
0.09 	 -1.12968e-05
0.1 	 -4.67163e-06
0.11 	 -7.1801e-06
0.12 	 2.06152e-06
0.13 	 6.85061e-06
0.14 	 2.20008e-05
0.15 	 3.57977e-05
0.16 	 5.92448e-05
0.17 	 8.31707e-05
0.18 	 0.000115835
0.19 	 0.000149561
0.2 	 0.000190502
0.21 	 0.00023224
0.22 	 0.00027978
0.23 	 0.000328059
0.24 	 0.000381258
0.25 	 0.000435133
0.26 	 0.000493158
0.27 	 0.000551548
0.28 	 0.000613149
0.29 	 0.000674165
0.3 	 0.000736585
0.31 	 0.000796694
0.32 	 0.000855681
0.33 	 0.000909891
0.34 	 0.0009602
0.35 	 0.00100351
0.36 	 0.00104094
0.37 	 0.00107046
0.38 	 0.00109404
0.39 	 0.00111099
0.4 	 0.00112404
0.41 	 0.00113322
0.42 	 0.00114142
0.43 	 0.00114869
0.44 	 0.00115732
0.45 	 0.00116674
0.46 	 0.00117847
0.47 	 0.00119121
0.48 	 0.00120574
0.49 	 0.00122058
0.5 	 0.00123627
0.51 	 0.00125197
0.52 	 0.0012689
0.53 	 0.00128735
0.54 	 0.00130956
0.55 	 0.00133619
0.56 	 0.00136971
0.57 	 0.00141055
0.58 	 0.00146079
0.59 	 0.00152029
0.6 	 0.00158999
0.61 	 0.00166871
0.62 	 0.00175563
0.63 	 0.00184814
0.64 	 0.00194397
0.65 	 0.00203951
0.66 	 0.00213196
0.67 	 0.00221749
0.68 	 0.00229349
0.69 	 0.00235671
0.7 	 0.00240508
0.71 	 0.00243666
0.72 	 0.00245119
0.73 	 0.00244852
0.74 	 0.0024304
0.75 	 0.0023984
0.76 	 0.00235553
0.77 	 0.00230458
0.78 	 0.00224897
0.79 	 0.0021916
0.8 	 0.00213549
0.81 	 0.0020826
0.82 	 0.00203478
0.83 	 0.00199271
0.84 	 0.00195705
0.85 	 0.00192715
0.86 	 0.00190269
0.87 	 0.00188193
0.88 	 0.00186372
0.89 	 0.00184607
0.9 	 0.00182747
0.91 	 0.0018065
0.92 	 0.00178278
0.93 	 0.00175632
0.94 	 0.00172886
0.95 	 0.00170203
0.96 	 0.0016788
0.97 	 0.00166151
0.98 	 0.00165321
0.99 	 0.00165613
